Launching LogDate version 1.2.1
Objective function: wLogDate
Finished initialization with random seed 171
Initial state:
mu = 0.0010304883384318012
fx = 199.396094452461
Maximum constraint violation: 1.9081958235744878e-17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|  42   |  42   |  488  | +1.8047e+02 | 2.16e+01 | 3.05e-04 | 3.17e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  43   |  42   |  488  | +1.8047e+02 | 1.08e+02 | 7.68e-03 | 3.17e-17 | 1.00e+00 |  2.00e-02   |   0   |
|  44   |  43   |  494  | +1.8047e+02 | 2.05e+01 | 7.68e-03 | 3.17e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  45   |  44   |  495  | +1.1975e+02 | 1.44e+02 | 3.28e-03 | 2.08e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  46   |  45   |  505  | +1.1975e+02 | 2.61e+01 | 3.28e-03 | 2.08e-17 | 1.00e+00 |  2.00e-02   |   3   |
|  47   |  46   |  512  | +1.1975e+02 | 1.26e+01 | 3.28e-03 | 2.08e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  48   |  47   |  514  | +1.0233e+02 | 6.81e+01 | 1.62e-03 | 3.05e-16 | 1.00e+00 |  2.00e-02   |   2   |
|  49   |  48   |  519  | +1.0233e+02 | 1.10e+01 | 1.62e-03 | 3.05e-16 | 1.00e+00 |  2.00e-02   |   3   |
|  50   |  49   |  521  | +9.7061e+01 | 4.37e+01 | 3.49e-04 | 2.36e-16 | 1.00e+00 |  2.00e-02   |   2   |
|  51   |  50   |  525  | +9.7061e+01 | 7.80e+00 | 3.49e-04 | 2.36e-16 | 1.00e+00 |  2.00e-02   |   3   |
|  52   |  51   |  527  | +9.7061e+01 | 2.67e+00 | 3.49e-04 | 2.36e-16 | 1.00e+00 |  2.00e-02   |   2   |
|  53   |  52   |  528  | +9.4974e+01 | 1.87e+01 | 6.33e-04 | 2.08e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  54   |  53   |  532  | +9.4974e+01 | 3.14e+00 | 6.33e-04 | 2.08e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  55   |  54   |  534  | +9.4350e+01 | 4.77e+00 | 8.02e-04 | 1.30e-16 | 1.00e+00 |  2.00e-02   |   2   |
|  56   |  55   |  537  | +9.4350e+01 | 2.38e+00 | 8.02e-04 | 1.30e-16 | 1.00e+00 |  2.00e-02   |   2   |
|  57   |  56   |  539  | +9.3505e+01 | 1.31e+01 | 1.37e-04 | 2.26e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  58   |  57   |  543  | +9.3165e+01 | 1.41e+01 | 6.38e-05 | 1.80e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  59   |  58   |  544  | +9.3143e+01 | 1.41e+01 | 1.58e-04 | 1.73e-17 | 1.00e+00 |  2.00e-02   |   4   |
|  60   |  59   |  546  | +9.3150e+01 | 1.41e+01 | 3.15e-05 | 1.56e-17 | 1.00e+00 |  2.00e-02   |   4   |
|  61   |  60   |  548  | +9.3161e+01 | 1.41e+01 | 3.57e-05 | 1.60e-17 | 1.00e+00 |  2.00e-02   |   4   |
|  62   |  60   |  548  | +9.3161e+01 | 7.06e+01 | 1.06e-03 | 1.60e-17 | 1.00e+00 |  4.00e-03   |   0   |
|  63   |  61   |  552  | +9.0357e+01 | 7.06e+01 | 1.54e-04 | 1.55e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  64   |  62   |  554  | +9.0408e+01 | 7.06e+01 | 6.26e-05 | 2.43e-17 | 1.00e+00 |  4.00e-03   |   4   |
|  65   |  63   |  562  | +9.0252e+01 | 7.06e+01 | 7.41e-05 | 1.04e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  66   |  64   |  564  | +9.0236e+01 | 7.06e+01 | 3.86e-05 | 3.64e-17 | 1.00e+00 |  4.00e-03   |   4   |
